family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,leak_yr,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
leaky,60.22766843221608,70.98874189315463,15.5,0.6,28.55108364892777,0.2,28.0,0.5,58.27833146815702,0.05,1000,476,397,397,0.397,1.0,0.0,0.5515969581620564,0.7909319899244333,0.7909319899244333,71.45020801208445,64.84582376692269,81.25148343472718,0.5852582414030447,2.0752547577149727,20.0,34.0
leaky,59.86783815656663,72.32098536199372,18.0,1.0999999999999999,25.11751275233335,0.6000000000000001,8.0,2.0,9.608979270291599,0.0,1000,490,397,397,0.397,1.0,0.0,0.36770994703495846,1.0,1.0,71.36536400963848,64.3922370384653,82.39093778424022,0.5951614837921257,1.9843014874057119,16.0,38.0
leaky,61.05755317606106,71.56118595479886,14.5,0.6,26.709078252222753,0.2,26.0,0.5,54.11559350614581,0.02,1000,488,394,394,0.394,1.0,0.0,0.5153302015976673,0.850253807106599,0.850253807106599,72.19778234745938,65.32744896895763,81.74320064273762,0.5683913519153873,2.192554893167309,20.0,35.0
leaky,60.10761496965297,70.81085845301817,15.5,0.7,26.165190237151087,0.4,12.0,0.5,24.976427772067296,0.01,1000,476,388,388,0.388,1.0,0.0,0.48378488431541933,0.9381443298969072,0.9381443298969072,72.98311399983282,65.70120098201764,81.67520627489986,0.5765985693524249,2.123197772453401,19.0,36.0
leaky,60.10795638129511,71.30970169825713,16.0,0.8999999999999999,24.042552967112837,0.6000000000000001,6.0,1.0,8.656170245333781,0.0,1000,508,387,387,0.387,1.0,0.0,0.3555632181292657,1.0,1.0,75.62290106045454,65.97327710217523,89.65479497675518,0.5416516082155388,2.3901658975725284,16.0,38.0
leaky,60.690863592297866,71.38162742996492,16.5,0.8999999999999999,24.793882747335115,0.6000000000000001,8.0,2.0,9.608979270291599,0.0,1000,462,386,386,0.386,1.0,0.0,0.36247731781953696,1.0,1.0,76.13639708876694,67.31449771031954,89.49576994313657,0.5735897484244759,2.1329310903363234,17.0,37.0
leaky,59.6729858789588,70.9081130216268,16.0,0.7,27.009228631897898,0.30000000000000004,20.0,0.5,41.62737962011216,0.02,1000,481,385,385,0.385,1.0,0.0,0.48682275063519587,0.9064935064935065,0.9064935064935065,71.56762694811945,64.48834010211415,80.19871141022185,0.5698483087107857,2.169176765535553,19.0,36.0
leaky,60.108937179521966,70.80380145413848,17.0,0.8999999999999999,25.54521252755739,0.6000000000000001,8.0,2.0,9.608979270291599,0.0,1000,474,384,384,0.384,1.0,0.0,0.366857141913003,0.9973958333333334,0.9973958333333334,77.20380421835716,67.03402479934292,92.43032887069343,0.5807991397621275,2.1078964732224534,17.0,37.0
leaky,59.725192613204236,70.7802409882022,18.0,0.8999999999999999,27.04787208800194,0.6000000000000001,8.0,2.0,9.608979270291599,0.01,1000,471,384,384,0.384,1.0,0.0,0.40486378888769053,0.9973958333333334,0.9973958333333334,75.11779928683157,66.29122184667567,88.64704210839537,0.6051472172769092,1.9587799664626258,18.0,37.0
leaky,60.588946225386664,71.5151241520674,14.5,0.6,26.709078252222753,0.30000000000000004,24.0,0.5,49.95285554413459,0.07,1000,478,383,383,0.383,1.0,0.0,0.5424442698027881,0.8198433420365535,0.8198433420365535,69.97673957591915,63.858946755953696,79.297323672149,0.5628141569925845,2.224315533208239,20.0,34.0
leaky,59.500002402845965,71.42782751879383,16.5,0.5,34.34258818659253,0.6000000000000001,12.0,1.5,15.321370167627434,0.08,1000,494,383,383,0.383,1.0,0.0,0.6406517536258627,0.4804177545691906,0.4804177545691906,71.88800781650943,64.57278875781202,82.38520321517275,0.5810339655666145,2.0970255386647025,23.0,31.0
leaky,60.27092690682625,71.06084025640905,14.5,0.6,26.709078252222753,0.30000000000000004,24.0,0.5,49.95285554413459,0.06,1000,480,382,382,0.382,1.0,0.0,0.5165009496265769,0.856020942408377,0.856020942408377,71.59992563800715,65.07037842772638,79.92973643859044,0.554798967846197,2.280469727843527,20.0,35.0
leaky,59.998899003692046,71.54210548912698,15.5,0.7,26.165190237151087,0.4,16.0,0.5,33.301903696089724,0.05,1000,489,382,382,0.382,1.0,0.0,0.4785805727872813,0.8952879581151832,0.8952879581151832,69.61407321484651,64.23567723378912,78.53493794859556,0.5486488930491111,2.3167377853245883,19.0,36.0
leaky,59.80673610621889,70.80647252316976,17.0,0.7999999999999999,26.879246809522563,0.6000000000000001,6.0,1.0,8.656170245333781,0.02,1000,474,382,382,0.382,1.0,0.0,0.43071493338694933,0.9869109947643979,0.9869109947643979,74.83456306129337,66.21397608037208,87.0817611919391,0.5887557063737443,2.0436346829029333,18.0,36.0
leaky,60.25715698018179,71.32120014507021,15.0,0.7999999999999999,23.7169824789905,0.6000000000000001,4.0,0.5,8.325475924022431,0.03,1000,487,381,381,0.381,1.0,0.0,0.40412535381775505,0.994750656167979,0.994750656167979,70.83704610405425,65.18324233632646,80.5968857254587,0.5371170528489043,2.3840076928981815,17.0,38.0
leaky,59.22952966065358,70.53213204232878,17.0,0.8999999999999999,25.54521252755739,0.7000000000000001,4.0,1.5,5.1071233892091445,0.05,1000,467,381,381,0.381,1.0,0.0,0.40992092870826996,0.989501312335958,0.989501312335958,70.89523715492234,64.84993785805676,80.79855166270612,0.5766594598717596,2.1459736206188618,17.0,38.0
leaky,60.25653751275358,71.17420114063552,15.5,0.8999999999999999,23.291223186890562,0.7000000000000001,4.0,1.5,5.1071233892091445,0.04,1000,484,380,380,0.38,1.0,0.0,0.3648580230253007,1.0,1.0,71.74257790683617,64.963010477812,82.07543515030622,0.5337438454449902,2.437760828039761,16.0,39.0
leaky,60.285681633897426,71.20058074664243,16.0,0.7999999999999999,25.29811464425653,0.7000000000000001,6.0,2.0,7.206734452718699,0.06,1000,490,380,380,0.38,1.0,0.0,0.4250726494408902,0.9789473684210527,0.9789473684210527,71.02656792310498,65.12782590397177,81.06847026737401,0.5527952519838026,2.286518241642392,18.0,37.0
leaky,59.98818757053273,71.6256069248326,17.0,0.8999999999999999,25.54521252755739,0.7000000000000001,4.0,1.5,5.1071233892091445,0.06,1000,491,380,380,0.38,1.0,0.0,0.4275447107335622,0.9868421052631579,0.9868421052631579,69.60933171044982,63.940497018835835,77.29371564708863,0.5875407926293827,2.064010605671484,17.0,37.0
leaky,60.27199286359384,71.33400645107555,17.5,0.8999999999999999,26.296542307779667,0.6000000000000001,8.0,2.0,9.608979270291599,0.01,1000,485,380,380,0.38,1.0,0.0,0.40021081176717666,1.0,1.0,74.2302729959844,66.42080309729887,87.58994312406413,0.5911869069039959,2.0292508645819916,18.0,37.0
leaky,61.426269095386004,72.4285001815893,15.5,0.7999999999999999,24.507548561623512,0.6000000000000001,6.0,1.0,8.656170245333781,0.02,1000,481,379,379,0.379,1.0,0.0,0.40600123500929547,0.9920844327176781,0.9920844327176781,73.03494347918712,65.34702502458819,85.3188437311712,0.5645828748095906,2.2179942597689917,18.0,37.0
leaky,60.49350002206909,71.20048631270488,16.0,0.7999999999999999,25.29811464425653,0.7000000000000001,4.0,1.5,5.1071233892091445,0.06,1000,470,379,379,0.379,1.0,0.0,0.4379950729059697,0.978891820580475,0.978891820580475,71.28174617916902,65.18100977128482,81.11914117335519,0.5777159513190404,2.1430520151711545,18.0,37.0
leaky,60.65671430120521,72.2383288544174,17.0,0.9999999999999999,24.52581569511238,0.6000000000000001,8.0,2.0,9.608979270291599,0.0,1000,480,379,379,0.379,1.0,0.0,0.3503938538837195,0.9973614775725593,0.9973614775725593,73.60944026500049,66.09916624789419,86.79828334509195,0.5660169264880733,2.1782615112461734,16.0,38.0
leaky,60.163344226471075,72.12612232405782,18.0,0.9999999999999999,25.968510736001345,0.6000000000000001,8.0,2.0,9.608979270291599,0.01,1000,486,379,379,0.379,1.0,0.0,0.393182203956786,1.0,1.0,72.55681335468402,65.38919884307074,83.29969443046856,0.6053006564605347,1.9640623917318882,17.0,37.0
leaky,60.91814695061943,71.31133643565926,14.0,0.5,29.13916573407851,0.5,12.0,0.5,24.976427772067296,0.1,1000,483,378,378,0.378,1.0,0.0,0.5884356579875736,0.6666666666666666,0.6666666666666666,71.89982503226022,65.80462222249227,80.8906945672757,0.5587773389336315,2.2453562595882977,21.0,33.0
leaky,59.84779881898765,71.61356583074883,16.5,0.7,27.85326702664471,0.5,10.0,0.5,20.81368981005608,0.07,1000,492,378,378,0.378,1.0,0.0,0.5279566339181976,0.8518518518518519,0.8518518518518519,69.48871157150498,64.3674069422722,78.1836942099947,0.595910671491361,1.988508286311476,20.0,35.0
leaky,60.44161570471887,70.8977055716559,14.5,0.6,26.709078252222753,0.2,28.0,0.5,58.27833146815702,0.02,1000,475,377,377,0.377,1.0,0.0,0.5021678256952394,0.8488063660477454,0.8488063660477454,73.26674179806801,66.36709846752912,81.82772405281455,0.5457267836395119,2.3173986454796838,20.0,35.0
leaky,59.5940928995708,70.82439137231776,16.0,0.6,29.47208634728028,0.30000000000000004,26.0,0.5,54.11559350614581,0.1,1000,479,377,377,0.377,1.0,0.0,0.5653963125386529,0.7374005305039788,0.7374005305039788,70.10388550524264,64.29953310304799,79.088823728283,0.5960432170094452,2.004269676370024,21.0,34.0
leaky,59.56902757933589,70.59317685720744,16.0,0.7,27.009228631897898,0.7000000000000001,8.0,2.0,9.608979270291599,0.07,1000,479,377,377,0.377,1.0,0.0,0.46992439933692864,0.9496021220159151,0.9496021220159151,71.75544729204773,65.19474199880455,82.7002389051605,0.5410416714220921,2.3606467228907575,20.0,35.0
leaky,60.96547945299719,72.94453998453304,17.5,1.0999999999999999,24.419804064768538,0.6000000000000001,6.0,1.5,7.660685083813717,0.0,1000,488,377,377,0.377,1.0,0.0,0.3506441163179199,1.0,1.0,71.67829751553124,64.74034654707555,84.31144631604852,0.591264010998082,2.032432904575886,15.0,39.0
leaky,60.900020042786615,71.95552592597721,14.5,0.6,26.709078252222753,0.30000000000000004,24.0,0.5,49.95285554413459,0.08,1000,478,376,376,0.376,1.0,0.0,0.5287214540095728,0.8218085106382979,0.8218085106382979,69.72205749633801,64.37337550028005,78.95202940118159,0.5496120019100419,2.285298898096569,20.0,34.0
leaky,60.52971223567647,71.10159902426611,15.0,0.6,27.63008095057526,0.30000000000000004,20.0,0.5,41.62737962011216,0.04,1000,483,376,376,0.376,1.0,0.0,0.5373042563236348,0.8218085106382979,0.8218085106382979,72.01631312295544,65.04348571394024,80.93671462404345,0.5749536396858319,2.1465046410501962,20.0,34.0
leaky,60.696446271041815,71.22547650893816,16.5,0.7,27.85326702664471,0.6000000000000001,8.0,1.5,10.214246778418289,0.03,1000,450,376,376,0.376,1.0,0.0,0.4706701015078427,0.9707446808510638,0.9707446808510638,76.13422521684706,66.72344614814213,89.36804592112225,0.5923366032455731,2.0282689880489517,20.0,35.0
leaky,59.14178641131231,70.83891443618083,17.0,0.9999999999999999,24.52581569511238,0.7000000000000001,4.0,2.0,4.804489635145799,0.04,1000,487,376,376,0.376,1.0,0.0,0.37418548656890177,1.0,1.0,70.99581121731345,65.04374411317984,78.83607711027206,0.5626601070579198,2.2148080933900536,16.0,39.0
leaky,61.20945957969471,72.71166235507688,17.5,0.9999999999999999,25.247163215556863,0.6000000000000001,6.0,1.5,7.660685083813717,0.01,1000,480,376,376,0.376,1.0,0.0,0.37706256937825544,1.0,1.0,72.67240167060416,65.4710872831617,84.17095601712998,0.6060198789187523,1.9498984140649012,16.0,38.0
leaky,61.02444829917031,71.73496685293054,15.0,0.7999999999999999,23.7169824789905,0.5,6.0,0.5,12.488213886033648,0.0,1000,478,375,375,0.375,1.0,0.0,0.4081769349784849,0.9946666666666667,0.9946666666666667,72.88892210734463,65.81315589799223,84.36917933927081,0.5588660530399493,2.2453999157401614,17.0,38.0
leaky,61.17239422368017,72.30261637222634,15.5,0.8999999999999999,23.291223186890562,0.7000000000000001,4.0,2.0,4.804489635145799,0.05,1000,473,375,375,0.375,1.0,0.0,0.38151813683395275,0.992,0.992,70.0045303237313,64.13955159002153,77.91404483519148,0.5389234719020918,2.4034144887641693,16.0,38.0
leaky,58.79379985318961,70.8386737575364,17.0,0.9999999999999999,24.52581569511238,0.7000000000000001,6.0,2.0,7.206734452718699,0.04,1000,493,375,375,0.375,1.0,0.0,0.36397875061584484,1.0,1.0,71.04369372775783,65.13432893672709,78.89001106404848,0.5429007433938816,2.3258162575865495,16.0,38.0
leaky,59.80956139447534,70.87410581463446,15.5,0.7,26.165190237151087,0.30000000000000004,20.0,0.5,41.62737962011216,0.01,1000,475,374,374,0.374,1.0,0.0,0.46965387678564396,0.9037433155080213,0.9037433155080213,71.68928554231726,64.49746248052024,82.37596788692872,0.5587899690109608,2.245917213715017,19.0,36.0
leaky,61.341298197374186,71.4746114385008,16.0,0.7999999999999999,25.29811464425653,0.6000000000000001,8.0,2.0,9.608979270291599,0.01,1000,457,374,374,0.374,1.0,0.0,0.3824470194556323,1.0,1.0,76.82002740608155,67.7177495499616,90.02119725878053,0.5547793112128925,2.2698773274458937,18.0,37.0
leaky,60.56759290439559,72.2068231424776,16.0,0.8999999999999999,24.042552967112837,0.5,6.0,0.5,12.488213886033648,0.0,1000,480,374,374,0.374,1.0,0.0,0.3876801248020071,1.0,1.0,71.40982761980504,64.54631033623644,81.88427033545437,0.5449601416911276,2.350761635143696,16.0,38.0
leaky,60.71028215325966,72.20376801324102,16.5,0.8999999999999999,24.793882747335115,0.7000000000000001,4.0,2.0,4.804489635145799,0.06,1000,463,374,374,0.374,1.0,0.0,0.42664414293776565,0.9946524064171123,0.9946524064171123,69.56247938461493,64.41835472784113,78.3592856494435,0.5829624578299546,2.079130310331756,17.0,37.0
leaky,60.99027490636537,71.46842842847879,17.0,0.7999999999999999,26.879246809522563,0.6000000000000001,8.0,2.0,9.608979270291599,0.02,1000,464,374,374,0.374,1.0,0.0,0.432744604815458,0.9919786096256684,0.9919786096256684,74.71338066555107,65.8831410795569,87.35976518474081,0.606518707557438,1.941773006820556,19.0,36.0
leaky,60.17360451885885,71.19224728321785,17.0,0.7999999999999999,26.879246809522563,0.7000000000000001,4.0,1.5,5.1071233892091445,0.07,1000,479,374,374,0.374,1.0,0.0,0.47560365346251965,0.9652406417112299,0.9652406417112299,70.62711175154706,64.20040343900448,78.97875760027658,0.594980317266395,2.0086217812538427,18.0,36.0
leaky,60.76430900198006,72.72470112382264,17.5,0.9999999999999999,25.247163215556863,0.6000000000000001,8.0,2.0,9.608979270291599,0.01,1000,473,374,374,0.374,1.0,0.0,0.37887509377356166,1.0,1.0,72.61243045844117,65.33334805488323,83.13440963887356,0.5803198600940007,2.092068686098447,17.0,37.0
leaky,60.43240755235768,71.44892260856075,14.5,0.6,26.709078252222753,0.5,12.0,0.5,24.976427772067296,0.08,1000,462,373,373,0.373,1.0,0.0,0.5241103289100599,0.8337801608579088,0.8337801608579088,70.78066449706574,64.6984787941521,79.2919090434134,0.5512554928808563,2.2735634790805284,20.0,35.0
