family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,59.64756801069329,72.80475526304178,76.87148104811948,17.0,0.8,26.879246809522563,0.15000000000000002,29.0,0.6,53.418156504445506,800,121,82,82,0.1025,1.0,0.0,0.5137402362361239,0.37152929390927014,0.7436328159203432,0.8902439024390244,0.8902439024390244,65.73169620954997,63.79642597354765,69.39029566340454,0.5832850819086415,2.0821749363202633,19.0,35.0
cure,60.12254939802307,73.15909007940846,77.16215677411569,17.0,0.8,26.879246809522563,0.2,24.0,0.6,44.208129520920416,800,118,81,81,0.10125,1.0,0.0,0.5079009059670564,0.36732051839236946,0.7144821301746261,0.8395061728395061,0.8395061728395061,66.12082315898033,63.735323181770084,70.1823141267335,0.598992435588415,1.9705168751224202,19.0,34.0
cure,58.776668086597866,72.43200742353889,76.7667780777806,18.0,0.6,33.15609714069031,0.15000000000000002,25.0,0.8999999999999999,37.56648901111381,800,123,79,79,0.09875,1.0,0.0,0.6857261469532014,0.46736958918016985,0.964359512277275,0.4177215189873418,0.4177215189873418,66.04020370479927,63.43662194727495,69.63934770054999,0.6093356892981435,1.9065554718201256,22.0,31.0
cure,60.04877362511316,73.47360900664873,77.65714796070378,18.0,0.8,28.460378974788597,0.1,29.0,0.6,53.418156504445506,800,114,78,78,0.0975,1.0,0.0,0.6052054108247513,0.37620885822690986,0.841887897398782,0.6538461538461539,0.6538461538461539,66.12724975015064,63.86121704070983,69.1552284174009,0.6590869973908122,1.5935258366918639,21.0,32.0
cure,59.78957021973967,73.03297385048836,77.14333576666155,18.0,0.8,28.460378974788597,0.15000000000000002,26.0,0.6,47.89214031433045,800,125,77,77,0.09625,1.0,0.0,0.5504427271448299,0.35730422332516365,0.7624397558523202,0.7922077922077922,0.7922077922077922,65.72731622846855,63.5634795387179,70.3760585368931,0.6194680783680394,1.8606812667321322,20.0,34.0
cure,58.62099835040402,73.26894393565398,77.7451461718107,19.0,1.0,27.411205776890306,0.25,21.0,0.6,38.682113330805365,800,123,77,77,0.09625,1.0,0.0,0.510726692362808,0.3417912534816327,0.7706693432164147,0.8311688311688312,0.8311688311688312,65.9078163356114,63.66794251884279,68.37851697009279,0.6088328545373412,1.9121338972314885,19.0,35.0
cure,59.53264896165163,73.21621466261905,77.54758061982473,17.0,0.6,31.314091743985294,0.15000000000000002,25.0,0.8999999999999999,37.56648901111381,800,110,74,74,0.0925,1.0,0.0,0.5991774080256922,0.458749447921776,0.9201271258941802,0.581081081081081,0.581081081081081,65.35218958812627,63.67557770610648,69.50414176552972,0.5710275502278213,2.1278927556116294,22.0,32.0
cure,58.89609404058467,73.49942754325836,77.91973078702718,18.0,1.0,25.968510736001342,0.25,23.0,0.6,42.366124124215396,800,116,73,73,0.09125,1.0,0.0,0.48485143988477075,0.34923450400810196,0.6397769034731842,0.9726027397260274,0.9726027397260274,65.26363434567207,63.704262862968186,68.7191946328441,0.6229538289596517,1.8238832408584638,18.0,36.0
cure,58.69826041829514,72.42289010938462,76.76065946491883,20.0,0.6,36.840107934100345,0.15000000000000002,23.0,0.8999999999999999,34.561169890224704,800,117,73,73,0.09125,1.0,0.0,0.6808438358691263,0.49962905691155857,0.9724314224909728,0.3561643835616438,0.3561643835616438,66.19097116447246,63.743070213012174,69.02596718337368,0.625899803588407,1.8159196713686774,23.0,31.0
cure,59.853442043963724,72.90830991741649,76.94109175183864,16.0,0.6,29.47208634728028,0.25,21.0,0.8999999999999999,31.5558507693356,800,109,72,72,0.09,1.0,0.0,0.5892306967744227,0.4070616331348048,0.8172326084739803,0.6805555555555556,0.6805555555555556,65.96822066092065,63.64297352222927,69.41610944016509,0.5357527462269409,2.3858876437608223,21.0,33.0
cure,58.57387629353245,73.05843554043221,77.4441387384474,17.0,0.6,31.314091743985294,0.30000000000000004,20.0,1.1999999999999997,27.144099887121083,800,107,72,72,0.09,1.0,0.0,0.6108129361193011,0.43963757227446326,0.8984738805068608,0.5277777777777778,0.5277777777777778,65.81992207361814,63.49971710913763,69.0173473817815,0.5285459394344403,2.402737151197406,22.0,31.0
cure,58.853834923497004,72.69041134458982,76.75585591315559,17.0,1.0,24.525815695112378,0.4,15.0,0.6,27.63008095057526,800,112,72,72,0.09,1.0,0.0,0.4337361479979519,0.3320613188136012,0.6079774570911292,0.9861111111111112,0.9861111111111112,67.26058259203222,63.82943053722314,71.42539216215205,0.5774800794889854,2.0789927456531756,17.5,37.0
cure,59.72530224711615,72.80169868949022,76.81528811870552,18.0,0.6,33.15609714069031,0.25,19.0,0.8999999999999999,28.550531648446494,800,127,72,72,0.09,1.0,0.0,0.6722288610376808,0.4752511816511873,0.937410393222345,0.3611111111111111,0.3611111111111111,66.48684990484892,63.62516795246176,70.19583265409662,0.6241618680492348,1.8119621270736719,23.0,31.0
cure,59.478461567993946,72.81404851459175,76.99995355203151,16.0,0.6,29.47208634728028,0.2,24.0,0.8999999999999999,36.06382945066925,800,119,71,71,0.08875,1.0,0.0,0.5895390396066361,0.38748458365761207,0.8621067803719304,0.6338028169014085,0.6338028169014085,65.53785924278094,63.66571441246458,69.77648238883877,0.5572680283786654,2.197576761349468,22.0,32.0
cure,58.857671533849256,73.05537253494221,77.32843962211024,17.0,0.8,26.879246809522563,0.35000000000000003,18.0,0.8999999999999999,27.04787208800194,800,111,71,71,0.08875,1.0,0.0,0.5359828246900148,0.3539345975210853,0.8471690801074918,0.8873239436619719,0.8873239436619719,65.57975435309248,63.48029630898278,69.53347909002346,0.5683260851408506,2.1427107069890194,20.0,34.0
cure,58.96132338546929,73.45856557361769,77.80156500049934,17.0,1.0,24.525815695112378,0.25,26.0,0.6,47.89214031433045,800,111,71,71,0.08875,1.0,0.0,0.4289776924665726,0.30841971589940176,0.6253401106192232,0.9859154929577465,0.9859154929577465,66.11529888271306,63.91938852536325,69.01011387314374,0.5233486199872064,2.525108005490942,17.0,37.0
cure,59.436146536303724,73.27936192773394,77.37339046133626,18.0,1.0,25.968510736001342,0.4,12.0,0.6,22.104064760460208,800,127,71,71,0.08875,1.0,0.0,0.46283994769855763,0.30443382155960486,0.6225283067695828,1.0,1.0,66.19266479940677,63.76733171062825,70.46876286710554,0.5897512561078306,2.0293282043085483,18.0,36.0
cure,58.61146054402179,73.07696298765144,77.4143219551604,17.0,1.0,24.525815695112378,0.25,27.0,0.6,49.73414571103547,800,114,70,70,0.0875,1.0,0.0,0.4267014546266807,0.31316320005873893,0.6554870483878453,0.9714285714285714,0.9714285714285714,65.83007552313018,63.74142275542481,69.48130952371422,0.5231764573256059,2.5061181201639915,17.5,37.0
cure,59.170261831648006,73.05243483689853,77.5013761090757,17.0,0.6,31.314091743985294,0.1,28.0,0.8999999999999999,42.07446769244746,800,117,69,69,0.08625,1.0,0.0,0.6381100984684828,0.42130750163052083,0.9205375275286201,0.463768115942029,0.463768115942029,65.19049024158272,63.55475386967162,70.24716587725838,0.5699555788400535,2.134818804349989,22.0,31.0
cure,60.20496164215139,73.48418529471591,77.60050017479674,18.0,0.8,28.460378974788597,0.15000000000000002,25.0,0.6,46.050134917625435,800,113,69,69,0.08625,1.0,0.0,0.5560568742520198,0.40000573280947266,0.8746274307665991,0.782608695652174,0.782608695652174,66.6522965925237,63.497551303203764,69.62866968123248,0.6100748405027162,1.8886859680685384,20.0,34.0
cure,58.95878842055865,73.39372791401038,77.77300045022281,19.0,1.0,27.411205776890306,0.30000000000000004,17.0,0.6,31.314091743985294,800,110,69,69,0.08625,1.0,0.0,0.49389290598900676,0.34955454660974916,0.6374893351960467,0.9710144927536232,0.9710144927536232,65.70108365676882,63.68132123411558,68.81526350281071,0.6413405731106838,1.7290804334249024,18.0,35.0
