family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,gps_med,gps_shape,gps_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
weibull,58.99049600881293,72.46237613748747,76.81767811232803,18.0,0.6,33.15609714069031,33.00779143716996,0.8,52.18968074570217,800,106,71,71,0.08875,1.0,0.0,0.6318001292597865,0.49759536571450064,0.8773332196535519,0.5352112676056338,0.5352112676056338,65.6952623964818,63.81107838785765,69.63556003921119,0.5663401575778021,2.2056976665902646,22.0,32.0
weibull,60.00470335780001,73.25629323621456,77.34404538339183,15.0,0.8,23.7169824789905,49.4858660162451,0.6,91.15323226254489,800,126,69,69,0.08625,1.0,0.0,0.47178400377967317,0.34822277166174953,0.6161957484833709,1.0,1.0,65.59541956750974,63.57511503485823,71.17522778432583,0.5229550558973598,2.5320644563554957,18.0,36.0
weibull,58.98875420583217,72.53751344664266,76.80284532128886,18.0,0.8,28.460378974788597,40.41558046783389,0.6,74.44571733271592,800,109,67,67,0.08375,1.0,0.0,0.5355904233588186,0.3467674012958322,0.7549803583722192,0.8507462686567164,0.8507462686567164,65.86086110049112,63.7701658310353,69.18419535841355,0.5936923290156759,2.061634171376955,20.0,34.0
weibull,59.7464768838667,73.24658337656763,77.59848065437215,17.0,0.6,31.314091743985294,33.00779143716996,0.8,52.18968074570217,800,108,61,61,0.07625,1.0,0.0,0.6301710087802053,0.4610699658535816,0.8527697783908246,0.5245901639344263,0.5245901639344263,65.47876932083797,63.73556292594554,68.52531483986553,0.5889817980983404,2.042350348332993,22.0,32.0
weibull,59.42960406374913,72.45984628820992,76.66093670817627,14.0,0.6,25.788075553870243,40.41558046783389,0.8,63.9023742555898,800,121,56,56,0.07,1.0,0.0,0.5361912855662796,0.38213100351431234,0.7265855032110959,0.8035714285714286,0.8035714285714286,65.24245010237445,63.5915930836353,69.42257748439965,0.5131485434961298,2.5489690006265606,20.0,34.0
weibull,59.481532123670625,73.24097095794654,77.60397602982519,20.0,0.8,31.62264330532066,33.00779143716996,0.6,60.80052996058073,800,102,50,50,0.0625,1.0,0.0,0.6462086459080377,0.43060363937525864,0.8055178399443362,0.44,0.44,65.89456756223136,63.79971586272693,69.46200252208833,0.6937465447239411,1.414213939170435,21.0,33.0
weibull,58.649471426664704,72.35759842953595,76.72735777323732,21.0,0.8,33.2037754705867,33.00779143716996,0.6,60.80052996058073,800,111,46,46,0.0575,1.0,0.0,0.6602501008016399,0.4616515405218129,0.8441012766451934,0.3695652173913043,0.3695652173913043,65.7382065797691,63.66320319240237,70.73495078216943,0.7018894024678977,1.3620473601805532,22.0,31.5
weibull,60.427874951407915,73.45604053101377,77.63838972985769,13.0,0.6,23.946070157165224,40.41558046783389,0.8,63.9023742555898,800,95,46,46,0.0575,1.0,0.0,0.5184843920843824,0.37756109859079523,0.7075493070532686,0.782608695652174,0.782608695652174,65.62112423960035,63.73103124025805,70.344198116809,0.4926382657962125,2.7103442516630585,20.0,34.0
weibull,59.515609145275505,73.28900139542966,77.71858457550123,22.0,0.6,40.524118727510384,26.95777922642577,0.8,42.62381183904227,800,116,44,44,0.055,1.0,0.0,0.824956278632836,0.5766640514575289,1.0639018245217675,0.11363636363636363,0.11363636363636363,65.7704588971531,63.4706986466914,68.44910931809284,0.7186262701761792,1.281623643540767,25.0,29.0
weibull,58.948402541225505,72.6815243502895,77.10638286213407,23.0,0.6,42.366124124215396,26.95777922642577,0.8,42.62381183904227,800,104,40,40,0.05,1.0,0.0,0.7909819796602442,0.575021440548262,1.1170030465703868,0.125,0.125,65.27080402384514,64.04474695088227,70.34659499186658,0.713561457145635,1.2976615405815308,24.0,30.0
